"Southeast","Midwest","Northeast","North","South"
2e-04,0,0,0,0
0.0019,1e-04,3e-04,0,0
0.0169,0.0031,0.0031,2e-04,0.0021
0.0949,0.0156,0.0282,0.0065,0.0221
0.1381,0.0247,0.0497,0.0195,0.0391
0.4541,0.0311,0.1435,0.0561,0.0751
0.6343,0.0375,0.2716,0.1277,0.0895
0.8476,0.0509,0.532,0.2054,0.071
1.129,0.067,0.9493,0.4033,0.0944
1.6436,0.0972,1.4472,0.7719,0.2039
2.2603,0.1553,2.1596,1.2734,0.2238
2.9374,0.3125,3.1998,1.9568,0.3105
3.8667,0.4159,4.4529,2.9053,0.5503
5.0531,0.6659,5.4059,3.411,0.7076
5.9853,1.1121,6.455,3.8172,0.7219
6.1152,1.434,6.599,3.1485,0.8124
7.2824,2.2963,6.9388,4.2673,1.3534
9.1379,2.644,8.4548,3.6608,1.927
8.3133,2.9583,8.4508,3.2975,2.6952
8.8232,2.9128,8.1682,3.3251,2.806
7.592,2.6436,6.9701,3.0994,3.0719
11.4112,4.6166,9.1032,3.3628,4.0411
10.9854,3.9949,8.6051,2.7523,4.305
10.9335,4.7508,7.8039,3.2573,4.4102
11.7315,4.3823,6.7242,3.0668,4.0717
9.6364,4.1373,5.9891,2.9698,3.6438
8.5539,3.9406,5.6954,2.7991,7.3006
8.6394,3.4304,5.0158,2.2949,4.1786
6.8222,4.1013,3.8347,2.1616,3.4085
7.5348,3.783,4.2045,1.9518,3.5808
6.9324,3.5394,3.4851,2.0446,2.7651
6.6303,2.9356,4.4372,1.8526,3.3521
6.454,2.1268,3.4326,1.3226,2.8219
5.1591,2.309,3.5726,1.4861,2.4342
5.8862,2.1038,3.0882,1.8942,3.0493
5.0237,1.5858,2.6098,1.4758,3.4029
2.996,1.5617,2.85,1.4804,3.4712
7.4968,1.8661,3.3948,1.5714,5.7913
7.5302,1.6622,3.6212,1.7009,6.6014
7.5499,2.0294,5.2593,1.8921,8.2417
10.2244,2.3669,5.864,1.9441,8.7994
10.6863,2.4868,6.064,1.9198,8.8621
11.4087,2.6614,6.5243,2.1383,10.8716
9.11,2.0843,4.7384,1.7722,6.7248
10.1597,2.1517,4.7487,1.8115,5.8212
15.3032,2.983,6.0374,3.3799,10.2212
16.2885,3.1751,6.9996,4.0099,7.567
15.0334,3.1386,7.2653,4.4068,6.1033
14.9859,3.1496,6.8166,4.4148,6.2405
13.7474,2.7988,6.2698,3.8913,5.3419
11.9608,2.6441,7.6397,3.4523,5.9234
12.1106,2.8756,7.3995,3.374,7.4169
12.6582,3.9129,8.6887,3.6082,10.4066
13.4602,4.4671,9.1787,3.6339,15.882
16.347,5.1917,10.0608,4.0724,11.3634
19.5393,5.0763,11.4782,4.7509,11.8534
21.3762,5.7909,10.1456,4.3416,10.9374
19.4866,4.6194,10.0397,3.5756,6.9385
22.2054,4.9627,10.8909,3.9136,7.6055
19.1367,4.5387,10.9828,3.5259,7.4829
16.2519,3.7225,10.2594,2.5488,6.5962
16.9798,3.8184,10.9572,2.9349,7.3342
17.2609,3.4564,11.1529,2.6821,8.024
18.1649,3.8025,11.7159,2.9969,7.7936
18.6257,4.3563,11.8294,2.5843,8.4947
16.4087,4.4626,11.9208,2.3924,7.4714
17.7972,4.0505,11.5253,2.2609,7.9768
18.8781,4.8174,12.1575,3.0157,8.2826
21.0759,4.3555,11.5542,2.5215,11.8371
18.9504,3.801,12.5136,2.1527,10.3795
14.9518,2.9008,7.791,2.0818,6.7624
13.9078,3.0621,6.6661,1.4756,5.9746
13.5026,2.9681,5.213,1.594,5.1662
11.38,3.515,4.2166,1.3192,11.2766
12.0417,3.5148,3.4432,1.2179,4.4424
11.089,3.3015,2.7335,1.1128,4.1736
10.1131,3.2366,2.5256,0.8489,3.3734
9.5389,3.2694,2.1366,0.8793,4.6033
8.3113,2.7557,1.9378,0.7451,2.9943
7.1218,2.6673,1.8093,0.5575,2.4796
5.1048,1.8418,0.9988,0.6028,2.184
18.0911,1.8918,1.3763,0.3174,2.4189
4.824,2.2617,1.01,0.453,3.8093
4.0608,2.0803,1.5846,0.3647,2.5911
4.109,2.3272,1.1095,0.4142,2.4429
2.5136,1.3564,0.9559,0.4681,1.7556
3.0766,1.6024,1.1749,0.4954,2.0083
2.5546,1.0905,1.2844,0.4149,2.4146
2.1583,0.7748,1.9584,0.4976,1.8273
2.4277,1.1968,1.576,0.5159,1.6161
2.108,0.959,1.1658,0.6718,1.2315
1.9714,1.0745,1.198,0.7711,1.3561
1.8694,0.7881,1.4555,0.8621,1.3474
1.2686,0.3384,0.8484,0.7389,1.1205
0.4404,0.1111,0.4037,0.8458,0.5933
0.5134,0.4413,0.8936,0.6138,0.6574
2.1101,0.6702,1.0193,0.6016,1.4931
10.0702,2.5514,3.4226,1.3522,8.126
20.8803,5.9632,4.7348,3.7675,17.5039
45.6164,8.8451,12.7818,9.2665,29.0794
53.1852,11.8845,23.4064,9.6537,34.1805
45.3765,11.2615,21.6858,7.8671,28.6265
34.7567,10.3971,17.461,6.8831,24.2387
4.1403,1.4066,2.0716,1.046,3.7156
