metric,value,dag,method
accuracy,1.0,3var,mdmp
sensitivity,1.0,3var,mdmp
specificity,1.0,3var,mdmp
ppv,1.0,3var,mdmp
npv,1.0,3var,mdmp
directional_accuracy,1.0,3var,mdmp
num_edges_estimated,2.0,3var,mdmp
num_edges_true,2.0,3var,mdmp
computation_time,8.351366758346558,3var,mdmp
accuracy,0.9,5var,mdmp
sensitivity,1.0,5var,mdmp
specificity,0.8,5var,mdmp
ppv,0.8333333333333334,5var,mdmp
npv,1.0,5var,mdmp
directional_accuracy,1.0,5var,mdmp
num_edges_estimated,6.0,5var,mdmp
num_edges_true,5.0,5var,mdmp
computation_time,15.341403245925903,5var,mdmp
