"metric","value","dag","method"
"accuracy",1,"4var","mdmr"
"sensitivity",1,"4var","mdmr"
"specificity",1,"4var","mdmr"
"ppv",1,"4var","mdmr"
"npv",1,"4var","mdmr"
"directional_accuracy",1,"4var","mdmr"
"num_edges_estimated",4,"4var","mdmr"
"num_edges_true",4,"4var","mdmr"
"computation_time",4.52166414260864,"4var","mdmr"
"accuracy",1,"5var","mdmr"
"sensitivity",1,"5var","mdmr"
"specificity",1,"5var","mdmr"
"ppv",1,"5var","mdmr"
"npv",1,"5var","mdmr"
"directional_accuracy",1,"5var","mdmr"
"num_edges_estimated",5,"5var","mdmr"
"num_edges_true",5,"5var","mdmr"
"computation_time",5.94253396987915,"5var","mdmr"
