metric,value,dag,method
accuracy,1.0,3var,notears
sensitivity,1.0,3var,notears
specificity,1.0,3var,notears
ppv,1.0,3var,notears
npv,1.0,3var,notears
directional_accuracy,1.0,3var,notears
num_edges_estimated,2.0,3var,notears
num_edges_true,2.0,3var,notears
computation_time,1.2139630317687988,3var,notears
accuracy,0.9,5var,notears
sensitivity,0.8,5var,notears
specificity,1.0,5var,notears
ppv,1.0,5var,notears
npv,0.8333333333333334,5var,notears
directional_accuracy,0.8,5var,notears
num_edges_estimated,4.0,5var,notears
num_edges_true,5.0,5var,notears
computation_time,2.337843179702759,5var,notears
